LocalID,OriginTag,Description,DeviceID,Unit,Type
/hs4sd_v1/ab/fuel/oil///use,AB-41061/Meas1/PRIM,AB Use,IAS,,Integer
/hs4sd_v1/ab/fuel/oil//in_c/temp,OB002.01/Meas1/PRIM,AUX BLR FO FLOWMETER INLET,IAS,degree Cellisius,Decimal
/hs4sd_v1/ab/fuel/oil//kgph/flow,OB001.01/Meas1/PRIM,AUX BLR FO,IAS,,Decimal
/hs4sd_v1/ab01//steam//bar/press,AB-C48-1/Meas1/PRIM,C48 - NO.1 LOCAL STEAM PRESSURE,IAS,bar,Decimal
/hs4sd_v1/ab01//wtr//m/level,AB-W16-1/Meas1/PRIM,W16 - NO.1 WATER LEVEL TRANSMITTER,IAS,meter,Decimal
/hs4sd_v1/ab01/burner////run,AB-40370/Meas1/PRIM,NO.1 A/B BURNER SIGNALS BURNER STATE,IAS,,Decimal
/hs4sd_v1/ab01/burner///per/load,AB-40371/Meas1/PRIM,"NO.1 BURNER SIGNALS BURNER LOAD, LIQUID FUEL",IAS,percent,Decimal
/hs4sd_v1/ab01/fuel/oil//bar/press,AB-F225-1/Meas1/PRIM,F225 - NO.1 LIQUID FUEL SUPPLY PRESSURE,IAS,bar,Decimal
/hs4sd_v1/ab01/fuel/oil//c/temp,AB-F212-1/Meas1/PRIM,F212 - NO.1 LIQUID FUEL SUPPLY TEMPERATURE,IAS,degree Cellisius,Decimal
/hs4sd_v1/ab01/windbox///c/temp,AB-F131-1/Meas1/PRIM,F131 - NO.1 WINDBOX TEMPERATURE,IAS,degree Cellisius,Decimal
/hs4sd_v1/ab02//steam//bar/press,AB-C48-2/Meas1/PRIM,C48 - NO.2 LOCAL STEAM PRESSURE,IAS,bar,Decimal
/hs4sd_v1/ab02//wtr//m/level,AB-W16-2/Meas1/PRIM,W16 - NO.2 WATER LEVEL TRANSMITTER,IAS,meter,Decimal
/hs4sd_v1/ab02/burner////run,AB-40542/Meas1/PRIM,NO.2 A/B BURNER SIGNALS BURNER STATE,IAS,,Decimal
